Year;PP;PP.min;PP.max;Herb.Zoopk;Herb.Zoopk.min;Herb.Zoopk.max;Omni.Zoopk;Omni.Zoopk.min;OmniZoopk.max
1988.0;0.0;0.0;0;0;0;0;48.689;48.689;48.689
1989.0;0.0;0.0;0;0;0;0;62.748;62.748;62.748
1990.0;0.0;0.0;0;0;0;0;81.164;81.164;81.164
